Lead ID,Name,Email,Status
1,Kerry Nitzsche,Jammie26@gmail.com,new
2,Miss Jeanne Koss II,Bernie34@hotmail.com,qualified
3,Hazel Hahn,Ardella.Beatty5@gmail.com,lost
4,Eleanor Kilback,Kiera.Ritchie90@yahoo.com,contacted
5,Cary Cruickshank-Sanford,Ericka.Marks2@hotmail.com,contacted
6,Travis Marvin-Bode,Earlene68@gmail.com,qualified
7,Kerry Olson,Jolie.Runolfsson30@gmail.com,qualified
8,Lee Schuster,Shania77@hotmail.com,qualified
9,Andre Marquardt-Corkery,Frank.Kozey92@yahoo.com,lost
10,Gertrude Auer,Hardy_Feest@hotmail.com,contacted
